"Grain Yield","Plant Height","Plant Lodging","bpsi","sel","gen"
178,72,89,339,"Selected","V0020"
164,70,85,319,"Selected","V003"
174,74,58,306,"Selected","V0038"
152,71,75,298,"Selected","V0045"
176,27,90,293,"Selected","V0032"
172,24,86,282,"Selected","V0050"
128,73,78,279,"Selected","V004"
166,68,44,278,"Selected","V0013"
150,38,84,272,"Selected","V0021"
122,64,83,269,"Selected","V0016"
170,29,67,266,"Not_Selected","V0093"
126,62,74,262,"Not_Selected","V0014"
140,59,60,259,"Not_Selected","V0031"
142,33,81,256,"Not_Selected","V0033"
168,15,73,256,"Not_Selected","V0053"
154,34,66,254,"Not_Selected","V0040"
146,41,65,252,"Not_Selected","V0028"
104,58,79,241,"Not_Selected","V001"
84,69,82,235,"Not_Selected","V0064"
112,52,70,234,"Not_Selected","V0049"
134,51,47,232,"Not_Selected","V0060"
108,47,77,232,"Not_Selected","V008"
132,42,56,230,"Not_Selected","V0077"
66,75,88,229,"Not_Selected","V0054"
106,40,76,222,"Not_Selected","V0039"
136,18,68,222,"Not_Selected","V0042"
162,20,38,220,"Not_Selected","V0044"
144,28,46,218,"Not_Selected","V0036"
116,57,42,215,"Not_Selected","V0011"
98,37,80,215,"Not_Selected","V0068"
124,0,91,215,"Not_Selected","V009"
158,0,52,210,"Not_Selected","V0046"
114,35,55,204,"Not_Selected","V0052"
148,0,53,201,"Not_Selected","V0034"
138,0,63,201,"Not_Selected","V0047"
156,4,40,200,"Not_Selected","V0025"
160,0,34,194,"Not_Selected","V0043"
94,48,50,192,"Not_Selected","V0074"
120,23,49,192,"Not_Selected","V0092"
88,46,54,188,"Not_Selected","V0029"
70,67,43,180,"Not_Selected","V002"
72,66,39,177,"Not_Selected","V0017"
118,26,33,177,"Not_Selected","V0089"
82,44,48,174,"Not_Selected","V0030"
110,0,61,171,"Not_Selected","V0063"
78,0,92,170,"Not_Selected","V0027"
80,0,87,167,"Not_Selected","V0051"
92,63,6,161,"Not_Selected","V0058"
100,0,59,159,"Not_Selected","V0026"
34,56,69,159,"Not_Selected","V0067"
86,45,27,158,"Not_Selected","V0094"
130,0,26,156,"Not_Selected","V0073"
44,53,57,154,"Not_Selected","V0010"
90,16,45,151,"Not_Selected","V0035"
26,50,72,148,"Not_Selected","V0075"
18,65,64,147,"Not_Selected","V005"
62,31,41,134,"Not_Selected","V0061"
58,4,71,133,"Not_Selected","V0070"
96,0,36,132,"Not_Selected","V0091"
102,0,29,131,"Not_Selected","V0041"
46,54,30,130,"Not_Selected","V006"
50,61,13,124,"Not_Selected","V0088"
54,30,28,112,"Not_Selected","V0072"
56,36,17,109,"Not_Selected","V0084"
52,49,3,104,"Not_Selected","V0098"
68,12,23,103,"Not_Selected","V0085"
76,21,5,102,"Not_Selected","V0076"
74,19,4,97,"Not_Selected","V0080"
48,17,31,96,"Not_Selected","V0081"
20,22,51,93,"Not_Selected","V0097"
64,12,14,90,"Not_Selected","V0082"
60,12,11,83,"Not_Selected","V0090"
26,55,0,81,"Not_Selected","V0065"
8,60,11,79,"Not_Selected","V0019"
38,4,35,77,"Not_Selected","V0048"
42,14,9,65,"Not_Selected","V0095"
22,39,3,64,"Not_Selected","V0056"
0,0,62,62,"Not_Selected","V0024"
18,43,0,61,"Not_Selected","V0057"
40,0,16,56,"Not_Selected","V0078"
30,6,18,54,"Not_Selected","V0018"
8,25,20,53,"Not_Selected","V0083"
8,7,37,52,"Not_Selected","V0087"
12,12,25,49,"Not_Selected","V0012"
36,4,7,47,"Not_Selected","V0086"
12,0,32,44,"Not_Selected","V0022"
0,32,12,44,"Not_Selected","V007"
8,13,22,43,"Not_Selected","V0071"
32,6,3,41,"Not_Selected","V0096"
18,0,21,39,"Not_Selected","V0066"
28,0,8,36,"Not_Selected","V0079"
0,0,24,24,"Not_Selected","V0059"
0,0,19,19,"Not_Selected","V0023"
0,0,15,15,"Not_Selected","V0037"
0,12,0,12,"Not_Selected","V0015"
0,0,0,0,"Not_Selected","V0062"
0,0,0,0,"Not_Selected","V0069"
