"GY","PH","PL"
0.113375,0.528375,0.5265
0.004125,0.3725,0.197
0.17775,0.487625,0.08525
0.00025,5e-04,0.01625
0.871375,0.868,0.087
0.273,0.5795,0.423875
0,5e-04,0
0.2335,0.815,0.610625
0.02025,0.855625,0.066875
0.001375,0.00025,0.005875
0.000125,0.5545,0.0015
0.020125,0.86725,0.0855
0.99575,0.982125,0.791625
0.618875,0.105875,0.6225
0.00025,0,0.04125
0,0,0.006
0,0,0.262875
0.704375,0.000125,0.069125
0.102375,0,0.227
0.030625,0,0.859625
0.50925,0.124,0.3
0.049625,0.21375,0.16525
0.87125,0.956375,0.662125
0.043,0.141875,0.11675
0.44075,0.530375,0.231375
0.944625,0.011,0.811
0.446875,0.032625,0.575875
0.550625,0,0.163375
0.06625,0.00275,0.089875
0.487,0.011375,0.102625
0,0,0.0035
0.91325,0.99275,0.222875
0.1225,0.115375,0.48125
0.286,0.991875,0.518375
0.66275,0.052875,0.322
0.1125,0,0.02975
0.38475,0.00375,0.36775
0.761875,0,0.04825
0.829375,0.005625,0.0655
0.6415,0.97675,0.426125
0.725125,0,0.128
0.416375,0,0.283125
0.00325,0.000125,0.06
0.14875,0.33825,0.3855
0.000375,0.832375,0.294125
0.90225,0.00725,0.69225
0.041875,0,0.736
0.15075,0.054875,0.170375
0.873375,0.002625,0.41
0.017375,1,0.784625
0.00075,0.10675,0.000125
0.000375,0.135125,0
0.068375,0.768125,0.000625
0,0,0.015375
0.0045,0.396125,0.04025
0.357,0.3035,0.115375
0.01525,0.014875,0.0765
0,0,0
0.14825,0,0.23475
0.046375,0.87525,0.583875
0.000875,0.41925,0
0.000375,0,0.011625
0.002375,0.471125,0.38125
0.076625,0.091375,0.552875
0,0,0
0,0.027875,0.001625
0.009625,0.000125,0.388875
0.000125,0.000875,0.013625
0.00825,0.01475,0.020625
0.316375,0,0.017875
0.06875,0.228625,0.11825
0.000875,0.29875,0.3925
0.025125,0.00575,5e-04
0.338875,0.12625,0.171
0.0035,0,0.00425
0.001,0,0.001125
0.134375,0.217,0.5025
0.023,0.003875,0.00025
0.00475,0.003125,0.041
0.015875,5e-04,0.003375
0.000125,0.007375,0.009
0.008375,0.072625,0.004875
0.02,5e-04,0.015
0.003,0.000125,0.00075
0.000125,0.000375,0.06175
0.00675,0.55475,0.00325
0.215625,0.009375,0.047375
0.25525,0,0.8395
0.012625,5e-04,0.0015
0.069375,0,0.06075
0.230625,0.007125,0.117
0.874375,0.012125,0.344125
0.04825,0.16175,0.020125
0.003625,0.00125,0.00125
0.00175,0.00025,0.000125
0.000625,0.0065,0.118875
0.007125,0.24,0.000125
