"GY","PH","PL","bpsi","sel","gen"
0.5,4,4,8.5,"Selected","G_20"
8,6,4,18,"Selected","G_3"
3,2,17.5,22.5,"Selected","G_38"
7,5,18,30,"Selected","G_45"
13,3,15,31,"Selected","G_4"
7,8,24.5,39.5,"Selected","G_13"
29,12,5,46,"Selected","G_16"
19,18,14,51,"Selected","G_1"
2,49,1.5,52.5,"Selected","G_32"
19,21.5,12,52.5,"Selected","G_33"
27,7,19,53,"Not_Selected","G_14"
15,38,4.5,57.5,"Not_Selected","G_21"
10,17,33,60,"Not_Selected","G_31"
57,1,2.5,60.5,"Not_Selected","G_54"
2,52,7,61,"Not_Selected","G_50"
17,17.5,28,62.5,"Not_Selected","G_28"
48,3.5,11,62.5,"Not_Selected","G_64"
5,47,13,65,"Not_Selected","G_93"
13,42,13.5,68.5,"Not_Selected","G_40"
34,24,11.5,69.5,"Not_Selected","G_49"
23,25,23,71,"Not_Selected","G_60"
37,18,17,72,"Not_Selected","G_39"
20.5,39,13,72.5,"Not_Selected","G_68"
36,29,8,73,"Not_Selected","G_8"
24,34,18.5,76.5,"Not_Selected","G_77"
3,61,20,84,"Not_Selected","G_53"
18,24,47,89,"Not_Selected","G_36"
21,38,30,89,"Not_Selected","G_47"
33,20.5,38,91.5,"Not_Selected","G_52"
23,30,39,92,"Not_Selected","G_29"
9,28,55,92,"Not_Selected","G_44"
14,76,2,92,"Not_Selected","G_9"
32,9.5,51,92.5,"Not_Selected","G_11"
43,28,21.5,92.5,"Not_Selected","G_74"
11,58,25,94,"Not_Selected","G_42"
44,13,43.5,100.5,"Not_Selected","G_58"
12,36,53,101,"Not_Selected","G_25"
73,10,24,107,"Not_Selected","G_67"
11,76,20.5,107.5,"Not_Selected","G_46"
68,23,18,109,"Not_Selected","G_10"
55,4.5,50,109.5,"Not_Selected","G_2"
49,16,45,110,"Not_Selected","G_30"
77,13,21,111,"Not_Selected","G_75"
15,53,44,112,"Not_Selected","G_92"
54,5,54,113,"Not_Selected","G_17"
10,76,29.5,115.5,"Not_Selected","G_43"
81,5.5,29,115.5,"Not_Selected","G_5"
31,25,60,116,"Not_Selected","G_89"
33.5,22,63,118.5,"Not_Selected","G_6"
65,15,40,120,"Not_Selected","G_88"
8,76,40,124,"Not_Selected","G_34"
30.5,72,22,124.5,"Not_Selected","G_70"
35,76,16,127,"Not_Selected","G_63"
51,76,0.5,127.5,"Not_Selected","G_27"
47,15.5,66,128.5,"Not_Selected","G_94"
45,60,24,129,"Not_Selected","G_35"
50,76,3,129,"Not_Selected","G_51"
20,76,34,130,"Not_Selected","G_26"
59,22.5,52,133.5,"Not_Selected","G_61"
42,38,57,137,"Not_Selected","G_91"
39,38,64,141,"Not_Selected","G_41"
86,16,41,143,"Not_Selected","G_19"
31,40,76,147,"Not_Selected","G_84"
80,27,42,149,"Not_Selected","G_97"
32,27,90,149,"Not_Selected","G_98"
63,23,65,151,"Not_Selected","G_72"
38.5,21,93,152.5,"Not_Selected","G_65"
33,59,62,154,"Not_Selected","G_81"
56,64,35,155,"Not_Selected","G_85"
12.5,76,67,155.5,"Not_Selected","G_73"
58,64,39.5,161.5,"Not_Selected","G_82"
60,64,41,165,"Not_Selected","G_90"
35.5,72,58,165.5,"Not_Selected","G_48"
40.5,33,93,166.5,"Not_Selected","G_57"
43,69,56,168,"Not_Selected","G_87"
26,55,88,169,"Not_Selected","G_76"
53,28.5,89,170.5,"Not_Selected","G_80"
42,64,68,174,"Not_Selected","G_12"
34.5,62,84,180.5,"Not_Selected","G_95"
90,76,15.5,181.5,"Not_Selected","G_24"
37.5,70,75,182.5,"Not_Selected","G_18"
84,38,61,183,"Not_Selected","G_22"
86,63,35.5,184.5,"Not_Selected","G_71"
86,25.5,73,184.5,"Not_Selected","G_83"
70,38,77,185,"Not_Selected","G_78"
79,18.5,90,187.5,"Not_Selected","G_56"
74,70,45,189,"Not_Selected","G_96"
81,76,36,193,"Not_Selected","G_66"
90,22,81,193,"Not_Selected","G_7"
72,36,86,194,"Not_Selected","G_86"
45,76,74,195,"Not_Selected","G_23"
90,38,69,197,"Not_Selected","G_59"
45,76,78,199,"Not_Selected","G_37"
38,76,85,199,"Not_Selected","G_79"
45,64,93,202,"Not_Selected","G_15"
90,76,46.5,212.5,"Not_Selected","G_69"
45,76,93,214,"Not_Selected","G_62"
