"gen","g","HPD95","HPD97.5","HPD5","HPD7.5"
"G_1",1.74019470017823,448.535942043178,546.639888499058,-390.29997169097,-490.728090949838
"G_2",473.789592387013,932.27221194334,999.920650776677,-2.32968277317831,-5.12247763630875
"G_3",644.604011607108,902.873402807216,948.083900189,-4.40702896736748,-7.08084269084335
"G_4",510.149331895325,847.698457256015,903.094937274453,-3.46060469507364,-6.12915497612075
"G_5",-118.528650565951,31.4786731071567,61.1457534962583,-382.812918509774,-428.961116837536
"G_6",240.605231904202,692.044192668325,766.794545971688,-14.6118111855897,-67.6045849653237
"G_7",-363.737228087835,1.84111672663697,3.32249761745773,-605.022218525725,-650.778717261939
"G_8",166.783731549127,379.480724917552,416.614639142659,-2.60748173590729,-6.62337732630569
"G_9",-1.59913966144984,271.188856435299,336.735796606748,-300.167871949439,-367.12957174542
"G_10",265.411348446401,718.685274625686,806.740615678819,-12.3594326604992,-68.1183425571996
"G_11",28.8586179102501,626.05983904277,726.590284038606,-360.271068478038,-467.071953351359
"G_12",-247.582374922261,5.94554494000964,14.1914146958321,-485.158303955388,-521.488435388439
"G_13",671.437587741417,925.517612470751,968.939430470637,-1.22531784480785,-2.81045422981911
"G_14",255.175909167334,591.488523828107,645.25766400944,-25.1052248788493,-50.1679638792714
"G_15",-530.936918409548,1.63778840061036,3.57418769003051,-782.215134630235,-825.035908394122
"G_16",101.070395846313,373.935418336979,412.155451712148,-56.3409771204777,-106.166424576301
"G_17",373.180291763926,843.11704625483,929.707105827784,-7.0155165128384,-29.8367181053576
"G_18",-111.634036199542,22.8502130776951,50.5862042977843,-354.36034443765,-398.471276616706
"G_19",-6.36994981399618,282.948754260861,360.291471498086,-440.168955150471,-524.464744839833
"G_20",550.22748079021,918.416212334342,980.353593289012,-1.41310544770178,-3.25017397984482
"G_21",352.261594317751,759.990485135814,842.563254468238,-4.88097696844642,-8.03642446180072
"G_22",-664.704213573549,0.990236968595468,2.70618318243357,-948.221158495018,-993.378006254395
"G_23",-1069.86316451618,1.91163905770046,5.08045930307611,-1356.46251936864,-1408.95180872407
"G_24",-504.491685611149,2.21371014746481,4.56943566254174,-789.330713163773,-845.998118210227
"G_25",411.38339365702,618.143398074573,658.086689559627,-0.923956076927345,-2.31524335470845
"G_26",21.2372650033413,279.265092716064,327.127499716114,-134.921633540123,-183.671633581489
"G_27",27.5673672444091,256.101953858851,298.971770584078,-107.344245039329,-147.817208024338
"G_28",383.296705771685,589.160981505832,621.27943786763,-0.729856054679616,-2.46333079732531
"G_29",228.315110702897,428.977178036054,467.042502442999,-5.65674206798203,-11.4549663334597
"G_30",13.521676828541,355.334455167824,419.631923490745,-216.463150254375,-288.085345452281
"G_31",196.776885528357,475.93755194567,521.51778295003,-3.03502539220006,-18.8742612969654
"G_32",755.015945923611,1024.39587068922,1074.71244471519,-0.555759407778582,-2.63928490791053
"G_33",198.338730254572,719.727243292641,805.488917825453,-69.6424579019454,-144.988761342548
"G_34",327.473849585151,730.782132405087,800.664673394235,-6.83292002339264,-18.5740293439179
"G_35",5.28656694046615,361.242897597434,427.955115132226,-279.054942852131,-348.043443653906
