"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_1",0,0.831125,0.8545,0.86525,0.3015,0.7275,0.142625,0.692125,0.422625,0.745375,0.568,0.221,0.8905,0.71075,0.1095,0.59775,0.79,0.275,0.3985,0.878375,0.781875,0.080375,0.092875,0.126625,0.844,0.5445,0.5465,0.840625,0.708125,0.536875,0.708,0.904,0.708375,0.776375,0.533375,0.7725,0.235875,0.8555,0.54675,0.858375,0.75075,0.904,0.8365,0.859375,0.86225,0.893375,0.819375,0.286,0.6825,0.868125,0.764375,0.72825,0.836625,0.330125,0.311375,0.129375,0.39425,0.230375,0.2885,0.11,0.23975,0.673,0.56275,0.26175,0.218625,0.1615,0.640625,0.246375,0.505125,0.499,0.438125,0.766875,0.136,0.24,0.286125,0.210875,0.283375,0.14525,0.322125,0.208875,0.171875,0.127375,0.311125,0.16,0.086,0.092875,0.250625,0.65975,0.323375,0.491125,0.180375,0.872,0.39775,0.165125,0.16675,0.093625,0.441875
"G_2",0.168875,0,0.628375,0.52725,0.117125,0.282,0.087125,0.201125,0.109875,0.318625,0.226875,0.124,0.68175,0.222375,0.09175,0.13775,0.389125,0.093125,0.11475,0.587625,0.378125,0.07575,0.081,0.088875,0.41225,0.12425,0.133375,0.355125,0.211,0.16375,0.23,0.791875,0.286375,0.333875,0.17425,0.412375,0.09875,0.602375,0.159125,0.546875,0.2525,0.81575,0.4135,0.521875,0.6835,0.491375,0.31375,0.09525,0.198875,0.703375,0.2835,0.23975,0.586125,0.123875,0.11075,0.08525,0.138625,0.110375,0.1235,0.08975,0.08975,0.193875,0.162375,0.07275,0.074,0.09125,0.182125,0.0855,0.117125,0.145,0.156625,0.3585,0.10825,0.102625,0.1065,0.109125,0.168375,0.10375,0.124375,0.1065,0.086875,0.113875,0.149375,0.085,0.0715,0.08025,0.100125,0.267125,0.1315,0.165125,0.067375,0.69325,0.13875,0.104125,0.098125,0.093125,0.125
"G_3",0.1455,0.371625,0,0.354,0.12075,0.1795,0.100625,0.1605,0.116375,0.211375,0.171875,0.11475,0.577125,0.128125,0.111125,0.11675,0.268125,0.109625,0.109875,0.440625,0.228875,0.096,0.092375,0.108875,0.212375,0.123125,0.12775,0.2005,0.1365,0.128625,0.1525,0.71625,0.192375,0.220125,0.1595,0.283,0.097625,0.497625,0.121875,0.3835,0.179375,0.795375,0.2205,0.37675,0.601875,0.273625,0.163875,0.116625,0.139625,0.674625,0.1805,0.145375,0.5065,0.145375,0.142375,0.0935,0.137,0.12525,0.12675,0.105,0.109,0.108875,0.152125,0.102,0.0825,0.10275,0.1555,0.1095,0.14625,0.12,0.157625,0.230125,0.119875,0.118,0.10525,0.121125,0.161375,0.11975,0.11475,0.135125,0.12,0.129625,0.144125,0.09675,0.096875,0.10725,0.12725,0.1875,0.137875,0.136375,0.09,0.6085,0.131375,0.121875,0.116875,0.105,0.117125
"G_4",0.13475,0.47275,0.646,0,0.105375,0.23875,0.096625,0.137625,0.109125,0.28175,0.172125,0.1095,0.693,0.176625,0.097125,0.1065,0.36725,0.100625,0.08425,0.589375,0.327875,0.086625,0.08625,0.0975,0.340125,0.099375,0.1125,0.29225,0.13,0.14225,0.173625,0.783875,0.2375,0.313125,0.138125,0.383125,0.092,0.600625,0.142125,0.50125,0.201125,0.81575,0.368875,0.50875,0.706,0.43925,0.210125,0.100125,0.16725,0.726375,0.238,0.171625,0.59225,0.11,0.101875,0.0915,0.126375,0.096,0.1045,0.092625,0.097125,0.150625,0.1245,0.083125,0.06925,0.09025,0.14075,0.0855,0.09825,0.129125,0.11825,0.33925,0.109,0.10825,0.10375,0.106375,0.14075,0.11075,0.10825,0.1065,0.094625,0.10125,0.1295,0.09675,0.082375,0.08925,0.093,0.224375,0.11475,0.137375,0.07575,0.659625,0.125625,0.097125,0.1035,0.080625,0.1135
"G_5",0.6985,0.882875,0.87925,0.894625,0,0.876625,0.149875,0.91025,0.68325,0.87025,0.733125,0.301125,0.900125,0.832375,0.106,0.849,0.868875,0.496625,0.578875,0.92175,0.875375,0.08575,0.0885,0.119125,0.9205,0.811625,0.8505,0.9285,0.8755,0.8055,0.907375,0.9305,0.842375,0.87275,0.75575,0.883875,0.373,0.871875,0.7925,0.90975,0.9195,0.917375,0.876125,0.886875,0.881125,0.93275,0.91525,0.474625,0.859875,0.87775,0.876375,0.876375,0.868375,0.562375,0.4935,0.155375,0.58925,0.28825,0.361125,0.117875,0.39175,0.828625,0.806375,0.429875,0.34025,0.19925,0.9,0.401125,0.809625,0.730875,0.669125,0.845,0.164625,0.329375,0.445375,0.302,0.383125,0.156375,0.48225,0.274125,0.202125,0.1255,0.456625,0.215125,0.094625,0.110875,0.33875,0.810375,0.45825,0.6815,0.222875,0.905,0.610625,0.223875,0.21325,0.101125,0.7835
"G_6",0.2725,0.718,0.8205,0.76125,0.123375,0,0.088,0.383,0.184,0.53525,0.3555,0.120625,0.850125,0.45325,0.096125,0.27425,0.62325,0.116875,0.175,0.80575,0.601,0.08575,0.091125,0.10625,0.686625,0.223,0.227375,0.66425,0.409625,0.257,0.42975,0.899375,0.48825,0.585625,0.282125,0.59675,0.1245,0.785125,0.28725,0.750875,0.487375,0.897125,0.695875,0.76325,0.83825,0.77025,0.5785,0.130375,0.4105,0.826875,0.53625,0.459125,0.764375,0.147375,0.13175,0.0865,0.213125,0.137625,0.156,0.098125,0.113,0.395375,0.275625,0.114625,0.08575,0.100125,0.3195,0.108125,0.202125,0.256875,0.207125,0.59375,0.12,0.115125,0.15625,0.129375,0.188625,0.112125,0.15575,0.1435,0.118625,0.118375,0.1885,0.089625,0.087,0.09625,0.13875,0.428875,0.182875,0.272,0.10075,0.816375,0.21425,0.11925,0.11975,0.095125,0.167
"G_7",0.857375,0.912875,0.899375,0.903375,0.850125,0.912,0,0.92725,0.859,0.90375,0.85875,0.739,0.92225,0.87725,0.223875,0.89875,0.89425,0.8485,0.812625,0.92725,0.8795,0.115125,0.12175,0.296875,0.924625,0.898,0.9145,0.9285,0.89325,0.903625,0.907875,0.945125,0.905,0.916875,0.909125,0.920875,0.66,0.90275,0.868375,0.92175,0.92325,0.92075,0.90125,0.902875,0.914125,0.935625,0.922,0.787875,0.9105,0.910125,0.894375,0.900125,0.8865,0.868625,0.859625,0.542625,0.7855,0.57625,0.618625,0.18825,0.793625,0.88375,0.8995,0.813625,0.67725,0.53925,0.917875,0.8395,0.913625,0.885125,0.878125,0.886125,0.2885,0.79225,0.680875,0.533875,0.604,0.324625,0.726125,0.5125,0.43525,0.159375,0.702375,0.464875,0.169375,0.118,0.593625,0.887375,0.72475,0.827625,0.428625,0.927125,0.788875,0.419625,0.390875,0.12575,0.902875
"G_8",0.307875,0.798875,0.8395,0.862375,0.08975,0.617,0.07275,0,0.183125,0.644125,0.402625,0.095625,0.875875,0.613,0.064,0.3585,0.74125,0.074125,0.17575,0.865125,0.73175,0.056125,0.05875,0.06475,0.87425,0.224875,0.20875,0.83375,0.612125,0.285,0.5745,0.898125,0.56325,0.691875,0.295125,0.7,0.090125,0.825,0.343,0.85275,0.670375,0.89575,0.83725,0.82875,0.845625,0.898375,0.809,0.08775,0.5345,0.812875,0.69825,0.651125,0.80975,0.102875,0.094125,0.068625,0.194875,0.0925,0.125125,0.071625,0.075,0.51175,0.295875,0.056125,0.06825,0.066625,0.38625,0.071875,0.176375,0.274625,0.19075,0.72925,0.084125,0.08625,0.134375,0.095,0.175625,0.082125,0.152375,0.09575,0.08325,0.095875,0.1625,0.066125,0.057625,0.07,0.099125,0.526125,0.140625,0.301125,0.06975,0.856625,0.214875,0.085,0.0885,0.073,0.122625
"G_9",0.577375,0.890125,0.883625,0.890875,0.31675,0.816,0.141,0.816875,0,0.81175,0.635375,0.226,0.911125,0.786,0.1105,0.72875,0.863375,0.306125,0.43275,0.918875,0.84925,0.07525,0.113125,0.139375,0.902375,0.630125,0.649875,0.900875,0.815875,0.636,0.81275,0.927375,0.783375,0.854625,0.60025,0.846625,0.2685,0.89475,0.65125,0.905375,0.853,0.906,0.876875,0.8965,0.8995,0.92125,0.896125,0.307,0.79025,0.887875,0.829,0.832625,0.866625,0.34375,0.314125,0.1145,0.42825,0.229625,0.278875,0.12925,0.243625,0.766375,0.634375,0.2685,0.23525,0.147625,0.755,0.258375,0.603875,0.588,0.47625,0.8565,0.154375,0.22,0.31825,0.22,0.294875,0.179,0.358875,0.209375,0.1705,0.134375,0.34275,0.181625,0.1,0.1155,0.2505,0.7325,0.352875,0.535625,0.158875,0.906125,0.45725,0.1705,0.165,0.117,0.5305
"G_10",0.254625,0.681375,0.788625,0.71825,0.12975,0.46475,0.09625,0.355875,0.18825,0,0.310875,0.13125,0.828,0.412,0.0855,0.2635,0.59125,0.112375,0.155375,0.761125,0.56825,0.075625,0.08225,0.09475,0.645875,0.201625,0.21425,0.600125,0.38025,0.248375,0.388625,0.8865,0.43775,0.51875,0.256375,0.584125,0.11625,0.738625,0.2795,0.732375,0.441125,0.877125,0.6465,0.718625,0.808875,0.717125,0.52325,0.11475,0.37125,0.79525,0.496375,0.427875,0.71,0.142,0.123125,0.0835,0.199375,0.113875,0.14125,0.081,0.0975,0.374375,0.2665,0.087625,0.091875,0.08775,0.29825,0.10525,0.176625,0.23025,0.199875,0.565375,0.1015,0.11075,0.147375,0.131875,0.1755,0.104875,0.152125,0.118375,0.105,0.092875,0.188625,0.09975,0.079125,0.093125,0.11175,0.4055,0.1525,0.254,0.085375,0.794,0.2025,0.115625,0.09975,0.081625,0.16475
