"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_1",0,0.4935,0.461375,0.466875,0.455,0.48475,0.44225,0.45025,0.503375,0.48075,NA,0.471875,0.443875,0.49025,0.425125,0.471875,0.494375,0.46725,0.483625,0.473375,0.503125,0.457125,0.455,0.4495,0.454875,0.47425,0.44425,0.44975,0.44225,0.518125,0.463375,0.46375,0.508625,0.479625,0.508875,0.623125,0.48725,0.51175,0.492,0.48525,0.45575,0.481875,0.46225,0.47625,0.466,0.465875,0.474625,0.492375,0.509375,0.6445,0.476125,0.4695,0.512875,0.448625,0.478125,0.454625,0.504125,0.499625,0.63975,0.638375,0.460875,0.49025,0.49975,0.465,0.479875,0.50375,0.4695,0.4765,0.472125,0.480875,0.528125,0.484375,0.6345,0.48025,0.508125,0.62725,0.63675,0.50475,0.52,0.52475,0.628125,0.638375,0.6335,0.637375,0.614875,0.651,0.596375,0.633625,0.623375,0.6435,0.635,0.648375,0.516,0.522125,0.521375,0.624375,0.450625
"G_2",0.5065,0,0.461375,0.464625,0.448875,0.484375,0.445,0.442875,0.501875,0.48625,NA,0.481,0.44175,0.489375,0.43475,0.4675,0.48625,0.4675,0.487,0.47575,0.514,0.464875,0.452,0.4575,0.45425,0.4775,0.451125,0.454875,0.440375,0.509375,0.463125,0.462625,0.52025,0.488875,0.507875,0.62975,0.49525,0.51575,0.4935,0.482375,0.456875,0.487875,0.46175,0.478875,0.47525,0.472,0.482125,0.506,0.511125,0.65025,0.47925,0.461,0.523625,0.460875,0.4725,0.45,0.5135,0.49125,0.647125,0.64575,0.46275,0.49225,0.506125,0.47125,0.4795,0.5045,0.4765,0.490125,0.477625,0.481625,0.5325,0.483,0.652375,0.4805,0.51625,0.638375,0.64275,0.518375,0.52375,0.52775,0.640625,0.640375,0.644,0.6395,0.61925,0.65,0.60625,0.645375,0.631625,0.649125,0.63975,0.661,0.520375,0.522875,0.51325,0.628125,0.454125
"G_3",0.538625,0.538625,0,0.502625,0.487875,0.52575,0.47925,0.47675,0.542125,0.519,NA,0.5185,0.49,0.523625,0.46875,0.503625,0.5415,0.498,0.526875,0.503125,0.54525,0.505875,0.495375,0.487125,0.491375,0.524,0.48325,0.483375,0.486875,0.547,0.512,0.509375,0.552875,0.5245,0.542625,0.65225,0.5285,0.547375,0.52825,0.5195,0.484625,0.5225,0.497875,0.515125,0.51025,0.521,0.518125,0.532,0.561125,0.67025,0.511625,0.5005,0.554125,0.4915,0.519375,0.489,0.54725,0.53425,0.6635,0.66575,0.502125,0.530625,0.53475,0.514125,0.528,0.5495,0.508875,0.528125,0.51275,0.523,0.574875,0.521125,0.6705,0.520625,0.5395,0.65775,0.660125,0.553,0.55075,0.5625,0.666375,0.660625,0.6595,0.660375,0.651625,0.673375,0.633375,0.66425,0.65325,0.67275,0.66475,0.67625,0.55125,0.55825,0.553875,0.646375,0.491875
"G_4",0.533125,0.535375,0.497375,0,0.49,0.516125,0.477,0.472625,0.5345,0.51125,NA,0.514125,0.47675,0.524,0.463875,0.498125,0.525125,0.50025,0.50975,0.50175,0.538625,0.496375,0.486875,0.48175,0.482125,0.500625,0.479125,0.47825,0.475375,0.541625,0.50625,0.502625,0.53725,0.513125,0.543,0.6445,0.524,0.54175,0.52225,0.519875,0.480625,0.5075,0.4865,0.509125,0.51025,0.502875,0.5025,0.534125,0.544375,0.66325,0.505,0.495,0.545625,0.48525,0.5075,0.477625,0.539125,0.527125,0.660875,0.65625,0.4895,0.524,0.529,0.501625,0.51425,0.541,0.506875,0.514125,0.506625,0.513625,0.56275,0.515125,0.665,0.50575,0.53725,0.650375,0.654375,0.5455,0.54675,0.553,0.660625,0.65475,0.660375,0.65275,0.643875,0.672,0.622125,0.663,0.64825,0.666125,0.66125,0.6675,0.551625,0.547875,0.54225,0.644,0.4825
"G_5",0.545,0.551125,0.512125,0.51,0,0.5325,0.488625,0.4855,0.5495,0.52725,NA,0.534625,0.4935,0.5325,0.4765,0.50775,0.54525,0.520125,0.531875,0.526875,0.561375,0.517,0.50675,0.497125,0.501,0.53375,0.488875,0.498375,0.491875,0.558125,0.513375,0.51475,0.557,0.532375,0.5615,0.66025,0.5395,0.561875,0.541375,0.53675,0.49275,0.525,0.498125,0.52025,0.523875,0.525375,0.528125,0.546,0.559625,0.675375,0.523625,0.519875,0.56375,0.50425,0.530375,0.5,0.5475,0.545625,0.669125,0.667875,0.517,0.541,0.554125,0.52825,0.53,0.547375,0.52175,0.534,0.521,0.523375,0.580125,0.531625,0.670625,0.533125,0.555125,0.659625,0.66575,0.564,0.560625,0.5675,0.667125,0.665375,0.671375,0.6635,0.6525,0.687375,0.632,0.665,0.662,0.674375,0.66825,0.682125,0.56075,0.560625,0.55975,0.65125,0.49825
"G_6",0.51525,0.515625,0.47425,0.483875,0.4675,0,0.46825,0.4535,0.517125,0.493875,NA,0.499625,0.46575,0.5135,0.440875,0.478625,0.505875,0.482,0.496625,0.493375,0.523625,0.479875,0.470375,0.46925,0.469375,0.495625,0.456,0.468375,0.460375,0.529125,0.482,0.482625,0.53075,0.505875,0.5195,0.6325,0.502375,0.519375,0.50375,0.50225,0.463625,0.50075,0.475625,0.493,0.48925,0.492125,0.487125,0.514375,0.526125,0.657125,0.492,0.47975,0.5275,0.470875,0.48825,0.460625,0.520125,0.505,0.655125,0.648625,0.48175,0.50725,0.515875,0.48775,0.496375,0.525875,0.485625,0.488375,0.4845,0.4905,0.548,0.495625,0.65425,0.49475,0.520875,0.642,0.644375,0.52725,0.53225,0.53675,0.649875,0.653375,0.64675,0.64675,0.630125,0.661,0.616,0.650375,0.637625,0.65525,0.649875,0.6575,0.537125,0.535,0.532625,0.638125,0.469625
"G_7",0.55775,0.555,0.52075,0.523,0.511375,0.53175,0,0.489375,0.559875,0.53,NA,0.545,0.5025,0.5325,0.47775,0.51975,0.5555,0.524125,0.534,0.526625,0.566125,0.525375,0.508125,0.500625,0.512125,0.528125,0.50725,0.51025,0.507625,0.566,0.52025,0.51725,0.56375,0.5405,0.565,0.66275,0.54125,0.567375,0.548875,0.546,0.500375,0.5295,0.518125,0.53475,0.53225,0.53525,0.53175,0.546625,0.5655,0.6745,0.533125,0.517625,0.57025,0.5075,0.53425,0.50825,0.55825,0.547875,0.6755,0.672,0.521375,0.538625,0.549375,0.532875,0.5385,0.5565,0.51925,0.52425,0.535,0.530375,0.5785,0.531,0.674375,0.524875,0.561125,0.667625,0.66725,0.57425,0.573375,0.576625,0.668,0.66975,0.678125,0.66475,0.651875,0.6825,0.63775,0.663375,0.662625,0.6765,0.66975,0.6815,0.56775,0.5745,0.567,0.65525,0.508625
"G_8",0.54975,0.557125,0.52325,0.527375,0.5145,0.5465,0.510625,0,0.563,0.54525,NA,0.539875,0.515625,0.545375,0.479625,0.527625,0.568125,0.527,0.5385,0.52925,0.557125,0.528125,0.50425,0.5175,0.520125,0.531125,0.50575,0.513,0.511375,0.571375,0.5305,0.520125,0.572625,0.544375,0.56575,0.66025,0.55075,0.562,0.545875,0.551125,0.513375,0.535875,0.518875,0.541125,0.528125,0.534375,0.539,0.559125,0.561375,0.682625,0.53925,0.5185,0.567625,0.512625,0.539125,0.51425,0.568125,0.549625,0.676625,0.677,0.530875,0.54525,0.547625,0.536625,0.5455,0.561125,0.530875,0.531625,0.530125,0.528625,0.574,0.530125,0.677,0.534375,0.5515,0.663125,0.669375,0.56675,0.569125,0.583625,0.674125,0.670125,0.671875,0.668375,0.656625,0.690625,0.640375,0.666125,0.659875,0.673625,0.67825,0.68,0.56625,0.57625,0.573375,0.65775,0.514875
"G_9",0.496625,0.498125,0.457875,0.4655,0.4505,0.482875,0.440125,0.437,0,0.48725,NA,0.473,0.451125,0.484625,0.442125,0.462125,0.491,0.458,0.476625,0.477875,0.503,0.462625,0.449875,0.4595,0.455125,0.474625,0.4425,0.4415,0.439,0.51675,0.473375,0.459875,0.5165,0.4865,0.517,0.62825,0.492,0.505875,0.49825,0.485125,0.44825,0.4835,0.4565,0.48,0.473625,0.47125,0.475,0.494875,0.5135,0.65675,0.46625,0.46425,0.513,0.442,0.4775,0.453875,0.512,0.486375,0.644625,0.6385,0.457,0.491875,0.496125,0.470375,0.4845,0.50325,0.466375,0.486125,0.46425,0.476875,0.527875,0.479125,0.646125,0.474625,0.51325,0.637875,0.636625,0.513,0.51825,0.52325,0.633875,0.646,0.641625,0.636125,0.623625,0.659375,0.611875,0.639625,0.62825,0.645625,0.640625,0.649375,0.512375,0.521375,0.514875,0.62975,0.44875
"G_10",0.51925,0.51375,0.481,0.48875,0.47275,0.506125,0.47,0.45475,0.51275,0,NA,0.499375,0.47475,0.51225,0.460625,0.48725,0.51025,0.483625,0.492375,0.490125,0.524375,0.47225,0.47475,0.4715,0.4705,0.4905,0.464125,0.4635,0.468875,0.527375,0.482,0.485,0.529,0.49575,0.52675,0.632875,0.506375,0.53125,0.505,0.507875,0.4705,0.4985,0.481625,0.49175,0.494125,0.495875,0.496125,0.51575,0.531125,0.657,0.492875,0.473,0.529125,0.475125,0.48375,0.477375,0.525375,0.505125,0.6505,0.654625,0.46925,0.50975,0.52175,0.48725,0.495375,0.522375,0.487,0.494375,0.49325,0.498875,0.546375,0.494125,0.6535,0.4925,0.530375,0.649875,0.645125,0.53375,0.5315,0.547625,0.65375,0.65375,0.653875,0.64775,0.63975,0.663,0.620625,0.646875,0.634875,0.655125,0.646,0.66475,0.52275,0.5335,0.5305,0.642375,0.463375
