"ID","prob"
"G_32",0.8605
"G_42",0.845
"G_13",0.81375
"G_3",0.798375
"G_45",0.787875
"G_50",0.73875
"G_93",0.732875
"G_20",0.730625
"G_38",0.697625
"G_4",0.679625
"G_46",0.6765
"G_44",0.67575
"G_53",0.670125
"G_40",0.6545
"G_2",0.566375
"G_43",0.55925
"G_25",0.4745
"G_17",0.4535
"G_73",0.440875
"G_36",0.43425
"G_21",0.40075
"G_34",0.36225
"G_28",0.361875
"G_10",0.31325
"G_33",0.26425
"G_6",0.2635
"G_51",0.25975
"G_89",0.2335
"G_47",0.221625
"G_14",0.1875
"G_11",0.176
"G_41",0.144875
"G_49",0.14075
"G_52",0.130625
"G_63",0.1225
"G_31",0.118
"G_1",0.109125
"G_91",0.105
"G_68",0.100375
"G_39",0.099125
"G_78",0.095625
"G_29",0.0905
"G_71",0.08625
"G_8",0.0825
"G_30",0.082
"G_35",0.081625
"G_72",0.0755
"G_84",0.0755
"G_94",0.074625
"G_58",0.067375
"G_90",0.063
"G_64",0.057375
"G_75",0.056875
"G_76",0.05375
"G_54",0.0525
"G_60",0.0525
"G_79",0.05125
"G_74",0.05075
"G_19",0.0505
"G_80",0.050375
"G_27",0.049125
"G_83",0.049
"G_59",0.048625
"G_12",0.047875
"G_98",0.045875
"G_96",0.045
"G_82",0.041875
"G_95",0.04075
"G_9",0.0395
"G_26",0.0395
"G_18",0.038875
"G_77",0.038375
"G_81",0.038125
"G_70",0.037375
"G_56",0.037125
"G_85",0.035
"G_37",0.034375
"G_62",0.0335
"G_16",0.033125
"G_7",0.032625
"G_48",0.0325
"G_87",0.03175
"G_69",0.031375
"G_5",0.030125
"G_92",0.029125
"G_24",0.0285
"G_61",0.028125
"G_15",0.0265
"G_23",0.026125
"G_57",0.024125
"G_22",0.02275
"G_67",0.02275
"G_86",0.022625
"G_88",0.022125
"G_97",0.020875
"G_66",0.02075
"G_65",0.018625
