"ID","prob"
"G_93",0.51175
"G_87",0.509875
"G_60",0.50375
"G_50",0.500375
"G_89",0.498125
"G_74",0.49725
"G_92",0.497
"G_91",0.4965
"G_83",0.496375
"G_84",0.49625
"G_78",0.495875
"G_61",0.493875
"G_77",0.490625
"G_90",0.489625
"G_82",0.488875
"G_85",0.48725
"G_97",0.48375
"G_36",0.479875
"G_86",0.475625
"G_88",0.462625
"G_72",0.230625
"G_81",0.225375
"G_30",0.22375
"G_96",0.219625
"G_95",0.219375
"G_80",0.219125
"G_53",0.218375
"G_49",0.216875
"G_58",0.214875
"G_79",0.21275
"G_1",0.211
"G_67",0.211
"G_33",0.209375
"G_94",0.209375
"G_76",0.209125
"G_48",0.2085
"G_64",0.20575
"G_63",0.202625
"G_14",0.190875
"G_38",0.186625
"G_35",0.1785
"G_34",0.1755
"G_21",0.175125
"G_39",0.17225
"G_9",0.171625
"G_37",0.156625
"G_2",0.155375
"G_20",0.15475
"G_73",0.15325
"G_10",0.149875
"G_6",0.1465
"G_42",0.1465
"G_59",0.14525
"G_40",0.140875
"G_17",0.140625
"G_19",0.1385
"G_66",0.137
"G_71",0.13375
"G_45",0.114625
"G_44",0.10625
"G_4",0.105625
"G_51",0.100625
"G_75",0.096125
"G_16",0.095375
"G_26",0.09225
"G_12",0.09025
"G_31",0.08975
"G_69",0.088
"G_46",0.086875
"G_68",0.085625
"G_65",0.08525
"G_18",0.085
"G_24",0.085
"G_56",0.084
"G_22",0.08325
"G_8",0.081625
"G_62",0.081375
"G_32",0.079875
"G_5",0.079375
"G_43",0.07925
"G_70",0.079125
"G_52",0.079
"G_98",0.07875
"G_3",0.078125
"G_54",0.077375
"G_23",0.07725
"G_41",0.076875
"G_57",0.076
"G_7",0.074875
"G_13",0.07475
"G_15",0.074625
"G_27",0.07175
"G_47",0.064625
"G_25",0.059625
"G_28",0.0565
"G_29",0.05325
"G_11",0
