"x","y","pwprob"
"G_1","G_3",0.16
"G_1","G_4",0.153375
"G_1","G_9",0.566125
"G_1","G_13",0.118875
"G_1","G_16",0.40425
"G_1","G_20",0.13025
"G_1","G_21",0.231625
"G_1","G_25",0.16825
"G_1","G_28",0.164125
"G_1","G_29",0.29675
"G_1","G_32",0.104
"G_1","G_33",0.307875
"G_1","G_34",0.237625
"G_1","G_35",0.46675
"G_1","G_38",0.150625
"G_1","G_39",0.449125
"G_1","G_44",0.150125
"G_1","G_47",0.194625
"G_1","G_51",0.243875
"G_1","G_53",0.1675
"G_1","G_58",0.593
"G_1","G_69",0.754625
"G_1","G_76",0.70425
"G_1","G_79",0.85025
"G_1","G_80",0.676875
"G_1","G_81",0.788
"G_1","G_94",0.603
"G_1","G_95",0.82775
"G_1","G_96",0.83725
"G_3","G_4",0.63
"G_3","G_9",0.869375
"G_3","G_13",0.407875
"G_3","G_16",0.859125
"G_3","G_20",0.550375
"G_3","G_21",0.754
"G_3","G_25",0.76675
"G_3","G_28",0.7645
"G_3","G_29",0.8415
"G_3","G_32",0.279375
"G_3","G_33",0.800625
"G_3","G_34",0.752
"G_3","G_35",0.82925
"G_3","G_38",0.479875
"G_3","G_39",0.858125
"G_3","G_44",0.604625
"G_3","G_47",0.81325
"G_3","G_51",0.7945
"G_3","G_53",0.481875
"G_3","G_58",0.855125
"G_3","G_69",0.890875
"G_3","G_76",0.888625
"G_3","G_79",0.876875
"G_3","G_80",0.881375
"G_3","G_81",0.8635
"G_3","G_94",0.864125
"G_3","G_95",0.8775
"G_3","G_96",0.885125
"G_4","G_9",0.8805
"G_4","G_13",0.302
"G_4","G_16",0.868625
"G_4","G_20",0.4135
"G_4","G_21",0.66775
"G_4","G_25",0.648625
"G_4","G_28",0.684625
"G_4","G_29",0.84625
"G_4","G_32",0.21725
"G_4","G_33",0.759625
"G_4","G_34",0.668625
"G_4","G_35",0.85275
"G_4","G_38",0.38575
"G_4","G_39",0.84875
"G_4","G_44",0.483125
"G_4","G_47",0.770375
"G_4","G_51",0.749875
"G_4","G_53",0.405375
"G_4","G_58",0.871625
"G_4","G_69",0.913625
"G_4","G_76",0.893625
"G_4","G_79",0.8895
"G_4","G_80",0.89225
