"x","y","pwprob"
"G_2","G_3",0.3825
"G_2","G_4",0.4735
"G_2","G_5",0.880125
"G_2","G_6",0.707125
"G_2","G_7",0.913
"G_2","G_8",0.77925
"G_2","G_9",0.888
"G_2","G_10",0.662125
"G_2","G_12",0.87725
"G_2","G_13",0.32275
"G_2","G_14",0.77925
"G_2","G_15",0.908125
"G_2","G_16",0.870625
"G_2","G_17",0.587875
"G_2","G_18",0.904375
"G_2","G_19",0.872
"G_2","G_20",0.436625
"G_2","G_21",0.6315
"G_2","G_22",0.921125
"G_2","G_23",0.918625
"G_2","G_24",0.913
"G_2","G_25",0.602375
"G_2","G_26",0.857
"G_2","G_27",0.8675
"G_2","G_28",0.61325
"G_2","G_29",0.776875
"G_2","G_30",0.830375
"G_2","G_31",0.74925
"G_2","G_32",0.21775
"G_2","G_34",0.66125
"G_2","G_35",0.826875
"G_2","G_36",0.59425
"G_2","G_37",0.898625
"G_2","G_38",0.395625
"G_2","G_39",0.8345
"G_2","G_40",0.46425
"G_2","G_41",0.719625
"G_2","G_42",0.1835
"G_2","G_43",0.5815
"G_2","G_44",0.472875
"G_2","G_45",0.3095
"G_2","G_46",0.506125
"G_2","G_47",0.69025
"G_2","G_48",0.902
"G_2","G_49",0.8
"G_2","G_50",0.2945
"G_2","G_51",0.7075
"G_2","G_52",0.739875
"G_2","G_54",0.85725
"G_2","G_56",0.879125
"G_2","G_57",0.911875
"G_2","G_59",0.887875
"G_2","G_60",0.882
"G_2","G_61",0.91125
"G_2","G_62",0.907625
"G_2","G_63",0.809875
"G_2","G_64",0.838625
"G_2","G_65",0.92375
"G_2","G_66",0.9235
"G_2","G_67",0.912125
"G_2","G_68",0.8125
"G_2","G_69",0.912375
"G_2","G_70",0.881375
"G_2","G_71",0.844
"G_2","G_72",0.8395
"G_2","G_73",0.66125
"G_2","G_74",0.890375
"G_2","G_75",0.893625
"G_2","G_77",0.88825
"G_2","G_78",0.83425
"G_2","G_82",0.909375
"G_2","G_83",0.887375
"G_2","G_84",0.85
"G_2","G_85",0.912625
"G_2","G_86",0.927
"G_2","G_87",0.919125
"G_2","G_88",0.9055
"G_2","G_89",0.742625
"G_2","G_90",0.870125
"G_2","G_91",0.83125
"G_2","G_92",0.93125
"G_2","G_93",0.2975
"G_2","G_97",0.904125
"G_2","G_98",0.869125
"G_3","G_4",0.6295
"G_3","G_5",0.881875
"G_3","G_6",0.7945
"G_3","G_7",0.898375
"G_3","G_8",0.82425
"G_3","G_9",0.882
"G_3","G_10",0.76275
"G_3","G_12",0.889
"G_3","G_13",0.416625
"G_3","G_14",0.870125
"G_3","G_15",0.893625
"G_3","G_16",0.887625
"G_3","G_17",0.697875
"G_3","G_18",0.891875
"G_3","G_19",0.88175
"G_3","G_20",0.5795
"G_3","G_21",0.768
"G_3","G_22",0.903625
"G_3","G_23",0.907625
"G_3","G_24",0.892
"G_3","G_25",0.7795
"G_3","G_26",0.874375
"G_3","G_27",0.874125
"G_3","G_28",0.750375
"G_3","G_29",0.8555
"G_3","G_30",0.86775
"G_3","G_31",0.821125
"G_3","G_32",0.292625
"G_3","G_34",0.763625
"G_3","G_35",0.8435
"G_3","G_36",0.716875
"G_3","G_37",0.90225
"G_3","G_38",0.492875
"G_3","G_39",0.8735
"G_3","G_40",0.615
"G_3","G_41",0.795375
"G_3","G_42",0.201875
"G_3","G_43",0.762875
"G_3","G_44",0.60625
"G_3","G_45",0.381125
"G_3","G_46",0.7095
"G_3","G_47",0.8315
"G_3","G_48",0.8795
"G_3","G_49",0.860875
"G_3","G_50",0.320625
"G_3","G_51",0.808375
"G_3","G_52",0.835
"G_3","G_54",0.848125
"G_3","G_56",0.860375
"G_3","G_57",0.907125
"G_3","G_59",0.877625
"G_3","G_60",0.879875
"G_3","G_61",0.894625
"G_3","G_62",0.892
"G_3","G_63",0.88875
"G_3","G_64",0.8555
"G_3","G_65",0.89775
"G_3","G_66",0.918125
"G_3","G_67",0.898
"G_3","G_68",0.8445
"G_3","G_69",0.8915
"G_3","G_70",0.857875
"G_3","G_71",0.871
"G_3","G_72",0.84725
"G_3","G_73",0.7835
"G_3","G_74",0.882625
"G_3","G_75",0.8805
"G_3","G_77",0.882875
"G_3","G_78",0.84225
"G_3","G_82",0.882375
"G_3","G_83",0.870625
"G_3","G_84",0.855875
"G_3","G_85",0.9025
"G_3","G_86",0.90425
"G_3","G_87",0.89375
"G_3","G_88",0.880375
"G_3","G_89",0.818625
"G_3","G_90",0.86375
"G_3","G_91",0.86325
"G_3","G_92",0.909375
"G_3","G_93",0.378625
"G_3","G_97",0.8955
"G_3","G_98",0.88425
"G_4","G_5",0.8945
"G_4","G_6",0.753625
"G_4","G_7",0.90475
"G_4","G_8",0.850625
"G_4","G_9",0.891875
"G_4","G_10",0.71025
"G_4","G_12",0.8915
"G_4","G_13",0.316625
"G_4","G_14",0.818625
"G_4","G_15",0.907875
"G_4","G_16",0.893
"G_4","G_17",0.61175
"G_4","G_18",0.9015
"G_4","G_19",0.909625
"G_4","G_20",0.438
"G_4","G_21",0.680375
"G_4","G_22",0.9125
"G_4","G_23",0.91575
"G_4","G_24",0.903875
"G_4","G_25",0.66925
"G_4","G_26",0.897375
"G_4","G_27",0.88925
"G_4","G_28",0.673875
"G_4","G_29",0.861
"G_4","G_30",0.8545
"G_4","G_31",0.813375
"G_4","G_32",0.236125
"G_4","G_34",0.680125
"G_4","G_35",0.859625
"G_4","G_36",0.624375
"G_4","G_37",0.90475
"G_4","G_38",0.39825
"G_4","G_39",0.85925
"G_4","G_40",0.514625
"G_4","G_41",0.776125
"G_4","G_42",0.180125
"G_4","G_43",0.62575
"G_4","G_44",0.48875
"G_4","G_45",0.285
"G_4","G_46",0.555125
"G_4","G_47",0.788375
"G_4","G_48",0.90075
"G_4","G_49",0.836
"G_4","G_50",0.274875
"G_4","G_51",0.763375
"G_4","G_52",0.812875
"G_4","G_54",0.881875
"G_4","G_56",0.895
"G_4","G_57",0.912
"G_4","G_59",0.9055
"G_4","G_60",0.89775
"G_4","G_61",0.90775
"G_4","G_62",0.9035
"G_4","G_63",0.851875
"G_4","G_64",0.876875
"G_4","G_65",0.917375
"G_4","G_66",0.929375
"G_4","G_67",0.9085
"G_4","G_68",0.860375
"G_4","G_69",0.915
"G_4","G_70",0.900875
"G_4","G_71",0.866625
"G_4","G_72",0.881375
"G_4","G_73",0.681375
"G_4","G_74",0.89325
"G_4","G_75",0.8935
"G_4","G_77",0.89075
"G_4","G_78",0.864375
"G_4","G_82",0.905875
"G_4","G_83",0.899
"G_4","G_84",0.869375
"G_4","G_85",0.90425
"G_4","G_86",0.916375
"G_4","G_87",0.90775
"G_4","G_88",0.909625
"G_4","G_89",0.78575
"G_4","G_90",0.885625
"G_4","G_91",0.8645
"G_4","G_92",0.92225
"G_4","G_93",0.334875
"G_4","G_97",0.92025
"G_4","G_98",0.887
"G_5","G_6",0.13275
"G_5","G_7",0.85725
"G_5","G_8",0.094375
"G_5","G_9",0.343875
"G_5","G_10",0.13075
"G_5","G_12",0.714125
"G_5","G_13",0.102625
"G_5","G_14",0.186875
"G_5","G_15",0.89975
"G_5","G_16",0.1995
"G_5","G_17",0.1295
"G_5","G_18",0.512625
"G_5","G_19",0.4265
"G_5","G_20",0.08275
"G_5","G_21",0.128625
"G_5","G_22",0.916875
"G_5","G_23",0.90925
"G_5","G_24",0.88225
"G_5","G_25",0.08725
"G_5","G_26",0.190625
"G_5","G_27",0.216125
"G_5","G_28",0.073375
"G_5","G_29",0.1275
"G_5","G_30",0.22625
"G_5","G_31",0.094125
"G_5","G_32",0.073875
"G_5","G_34",0.130625
"G_5","G_35",0.27675
"G_5","G_36",0.127625
"G_5","G_37",0.6415
"G_5","G_38",0.126625
"G_5","G_39",0.215375
"G_5","G_40",0.094125
"G_5","G_41",0.083375
"G_5","G_42",0.0855
"G_5","G_43",0.130375
"G_5","G_44",0.1165
"G_5","G_45",0.119625
"G_5","G_46",0.074125
"G_5","G_47",0.091
"G_5","G_48",0.54875
"G_5","G_49",0.159625
"G_5","G_50",0.123625
