"ID","level","category","prob"
"G_1","CROP_SEASON","Joint",0
"G_10","CROP_SEASON","Joint",0
"G_11","CROP_SEASON","Joint",0
"G_12","CROP_SEASON","Joint",0.00026275
"G_13","CROP_SEASON","Joint",0.255506625
"G_14","CROP_SEASON","Joint",0
"G_15","CROP_SEASON","Joint",0
"G_16","CROP_SEASON","Joint",0.022596796875
"G_17","CROP_SEASON","Joint",0
"G_18","CROP_SEASON","Joint",0.003105625
"G_19","CROP_SEASON","Joint",0
"G_2","CROP_SEASON","Joint",0
"G_20","CROP_SEASON","Joint",0.48264184375
"G_21","CROP_SEASON","Joint",0.28898015625
"G_22","CROP_SEASON","Joint",0
"G_23","CROP_SEASON","Joint",0
"G_24","CROP_SEASON","Joint",0
"G_25","CROP_SEASON","Joint",0.27252421875
"G_26","CROP_SEASON","Joint",0.09558284375
"G_27","CROP_SEASON","Joint",0.07134703125
"G_28","CROP_SEASON","Joint",0.138816328125
"G_29","CROP_SEASON","Joint",0.03746575
"G_3","CROP_SEASON","Joint",0.195605921875
"G_30","CROP_SEASON","Joint",0
"G_31","CROP_SEASON","Joint",0.24538065625
"G_32","CROP_SEASON","Joint",0.314668125
"G_33","CROP_SEASON","Joint",0
"G_34","CROP_SEASON","Joint",0.38294828125
"G_35","CROP_SEASON","Joint",0.0102528125
"G_36","CROP_SEASON","Joint",0
"G_37","CROP_SEASON","Joint",0
"G_38","CROP_SEASON","Joint",0.5355605625
"G_39","CROP_SEASON","Joint",0.082265625
"G_4","CROP_SEASON","Joint",0.01737646875
"G_40","CROP_SEASON","Joint",0.201106015625
"G_41","CROP_SEASON","Joint",0.13608575
"G_42","CROP_SEASON","Joint",0
"G_43","CROP_SEASON","Joint",0.243594609375
"G_44","CROP_SEASON","Joint",0.36180128125
"G_45","CROP_SEASON","Joint",0.43863421875
"G_46","CROP_SEASON","Joint",0.3086215625
"G_47","CROP_SEASON","Joint",0.084805234375
"G_48","CROP_SEASON","Joint",0
"G_49","CROP_SEASON","Joint",0
"G_5","CROP_SEASON","Joint",0.0002883125
"G_50","CROP_SEASON","Joint",0
"G_51","CROP_SEASON","Joint",0.0139365
"G_52","CROP_SEASON","Joint",0.038264625
"G_53","CROP_SEASON","Joint",0
"G_54","CROP_SEASON","Joint",0.021854078125
"G_56","CROP_SEASON","Joint",0.002650015625
"G_57","CROP_SEASON","Joint",0.00034925
"G_58","CROP_SEASON","Joint",0
"G_59","CROP_SEASON","Joint",0
"G_6","CROP_SEASON","Joint",0
"G_60","CROP_SEASON","Joint",0
"G_61","CROP_SEASON","Joint",0
"G_62","CROP_SEASON","Joint",3.4671875e-05
"G_63","CROP_SEASON","Joint",0
"G_64","CROP_SEASON","Joint",0
"G_65","CROP_SEASON","Joint",0.00178875
"G_66","CROP_SEASON","Joint",0.00056278125
"G_67","CROP_SEASON","Joint",0.00131125
"G_68","CROP_SEASON","Joint",0.014845234375
"G_69","CROP_SEASON","Joint",0
"G_7","CROP_SEASON","Joint",0
"G_70","CROP_SEASON","Joint",0.008379
"G_71","CROP_SEASON","Joint",0
"G_72","CROP_SEASON","Joint",0
"G_73","CROP_SEASON","Joint",0.1428871875
"G_74","CROP_SEASON","Joint",0
"G_75","CROP_SEASON","Joint",0.0004573125
"G_76","CROP_SEASON","Joint",0
"G_77","CROP_SEASON","Joint",0
"G_78","CROP_SEASON","Joint",0
"G_79","CROP_SEASON","Joint",0
"G_8","CROP_SEASON","Joint",0.014459375
"G_80","CROP_SEASON","Joint",0
"G_81","CROP_SEASON","Joint",0
"G_82","CROP_SEASON","Joint",0.006339328125
"G_83","CROP_SEASON","Joint",0
"G_84","CROP_SEASON","Joint",0
"G_85","CROP_SEASON","Joint",0.009638109375
"G_86","CROP_SEASON","Joint",0.00045140625
"G_87","CROP_SEASON","Joint",0
"G_88","CROP_SEASON","Joint",0
"G_89","CROP_SEASON","Joint",0
"G_9","CROP_SEASON","Joint",0.0602525625
"G_90","CROP_SEASON","Joint",0
"G_91","CROP_SEASON","Joint",0
"G_92","CROP_SEASON","Joint",0
"G_93","CROP_SEASON","Joint",0
"G_94","CROP_SEASON","Joint",0
"G_95","CROP_SEASON","Joint",0
"G_96","CROP_SEASON","Joint",0
"G_97","CROP_SEASON","Joint",0
"G_98","CROP_SEASON","Joint",0.001532015625
"G_1","trial","Joint",0.0254551875
"G_10","trial","Joint",0.00272825
"G_11","trial","Joint",0
"G_12","trial","Joint",3.2625e-05
"G_13","trial","Joint",0.0313224375
"G_14","trial","Joint",0.067091375
"G_15","trial","Joint",0
"G_16","trial","Joint",0.0083540625
"G_17","trial","Joint",0.008184625
"G_18","trial","Joint",0.000273125
"G_19","trial","Joint",9.85625e-05
"G_2","trial","Joint",0.008674453125
"G_20","trial","Joint",0.13945159375
"G_21","trial","Joint",0.09009984375
"G_22","trial","Joint",0.0001615625
"G_23","trial","Joint",1.5265625e-05
"G_24","trial","Joint",0.00051734375
"G_25","trial","Joint",0.00704484375
"G_26","trial","Joint",0.016425125
"G_27","trial","Joint",0.00643471875
"G_28","trial","Joint",0.010484140625
"G_29","trial","Joint",0.0017106875
"G_3","trial","Joint",0.021986453125
"G_30","trial","Joint",0.01677425
"G_31","trial","Joint",0.04805421875
"G_32","trial","Joint",0.037374375
"G_33","trial","Joint",0.145833703125
"G_34","trial","Joint",0.14602625
"G_35","trial","Joint",0.00552834375
"G_36","trial","Joint",0.2553406875
"G_37","trial","Joint",0
"G_38","trial","Joint",0.17629425
"G_39","trial","Joint",0.02703375
"G_4","trial","Joint",0.0053184375
"G_40","trial","Joint",0.07982296875
"G_41","trial","Joint",0.008238375
"G_42","trial","Joint",0.09763228125
"G_43","trial","Joint",0.0358921875
"G_44","trial","Joint",0.04868915625
"G_45","trial","Joint",0.062204734375
"G_46","trial","Joint",0.02399546875
"G_47","trial","Joint",0.00338375
"G_48","trial","Joint",0.00182625
"G_49","trial","Joint",0.041275125
"G_5","trial","Joint",3.80625e-05
"G_50","trial","Joint",0.4446493125
"G_51","trial","Joint",0.005081015625
"G_52","trial","Joint",0.0031793125
"G_53","trial","Joint",0.275830640625
"G_54","trial","Joint",0.0062968125
"G_56","trial","Joint",0.000251390625
"G_57","trial","Joint",4.6875e-05
"G_58","trial","Joint",0.01913175
"G_59","trial","Joint",0
"G_6","trial","Joint",0.0014318125
"G_60","trial","Joint",0.157343484375
"G_61","trial","Joint",0.00782340625
"G_62","trial","Joint",3.671875e-06
"G_63","trial","Joint",0.035843625
"G_64","trial","Joint",0.014255109375
"G_65","trial","Joint",0.000350625
"G_66","trial","Joint",0.00016340625
"G_67","trial","Joint",0.00083
"G_68","trial","Joint",0.001958671875
"G_69","trial","Joint",0
"G_7","trial","Joint",0
"G_70","trial","Joint",0.0009511875
"G_71","trial","Joint",0.0001935
"G_72","trial","Joint",0.003031875
"G_73","trial","Joint",0.0441050625
"G_74","trial","Joint",0.0295621875
"G_75","trial","Joint",6.7875e-05
"G_76","trial","Joint",0.00630540625
"G_77","trial","Joint",0.140473625
"G_78","trial","Joint",0.00113934375
"G_79","trial","Joint",0.00067925
"G_8","trial","Joint",0.0021069375
"G_80","trial","Joint",0.0194096875
"G_81","trial","Joint",0.00424125
"G_82","trial","Joint",0.00381421875
