"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_3",NA,NA,0,0.3645,0.444,NA,0.39675,0.338125,0.43375,NA,NA,0.58325,0.49525,NA,0.189,0.316375,NA,0.668375,NA,0.579625,0.678375,NA,NA,NA,0.57225,0.635875,0.736,0.40225,0.45725,NA,0.56825,0.472,NA,0.58025,0.447875,NA,NA,0.654375,0.661875,0.429375,0.547625,NA,0.442375,0.5365,0.67525,0.517625,0.435,NA,NA,NA,0.347875,0.59475,NA,0.435375,0.728875,0.4605,NA,NA,NA,NA,0.417625,NA,NA,0.391375,0.564,0.3275,0.335375,0.56525,0.444875,NA,NA,0.50575,NA,0.425875,NA,NA,NA,NA,NA,NA,0.55775,NA,NA,0.652625,0.655875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6165
"G_4",NA,NA,0.6355,0,0.545125,NA,0.521375,0.509375,0.56875,NA,NA,0.689375,0.634625,NA,0.201875,0.446375,NA,0.745875,NA,0.67025,0.743875,NA,NA,NA,0.681125,0.70775,0.773125,0.573375,0.612625,NA,0.65075,0.62025,NA,0.668625,0.548125,NA,NA,0.7225,0.7285,0.535,0.665875,NA,0.588,0.65875,0.747,0.647875,0.596375,NA,NA,NA,0.479125,0.687375,NA,0.534875,0.774125,0.590625,NA,NA,NA,NA,0.56675,NA,NA,0.543125,0.656625,0.411625,0.500125,0.680625,0.57875,NA,NA,0.593375,NA,0.56575,NA,NA,NA,NA,NA,NA,0.6535,NA,NA,0.725875,0.727875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703625
"G_5",NA,NA,0.556,0.454875,0,NA,0.475375,0.444,0.50775,NA,NA,0.638875,0.558375,NA,0.191875,0.414,NA,0.700125,NA,0.6165,0.696625,NA,NA,NA,0.622125,0.66775,0.7405,0.4985,0.539375,NA,0.616,0.54625,NA,0.62675,0.514125,NA,NA,0.68575,0.683,0.49775,0.600625,NA,0.52075,0.586625,0.702625,0.58925,0.52975,NA,NA,NA,0.42275,0.623875,NA,0.492375,0.73475,0.528375,NA,NA,NA,NA,0.505625,NA,NA,0.485375,0.623125,0.38325,0.442125,0.606875,0.52025,NA,NA,0.561375,NA,0.505375,NA,NA,NA,NA,NA,NA,0.600875,NA,NA,0.676875,0.681375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6435
"G_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_7",NA,NA,0.60325,0.478625,0.524625,NA,0,0.4885,0.52975,NA,NA,0.6695,0.601375,NA,0.18525,0.438125,NA,0.7115,NA,0.64575,0.7105,NA,NA,NA,0.648625,0.68875,0.74775,0.548625,0.58775,NA,0.621125,0.58775,NA,0.639375,0.527,NA,NA,0.693375,0.691,0.509,0.640625,NA,0.554125,0.627375,0.716125,0.627375,0.571625,NA,NA,NA,0.462375,0.653125,NA,0.509375,0.736625,0.555,NA,NA,NA,NA,0.55,NA,NA,0.52425,0.62075,0.395625,0.48375,0.6425,0.546875,NA,NA,0.5765,NA,0.533,NA,NA,NA,NA,NA,NA,0.613875,NA,NA,0.688625,0.7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667
"G_8",NA,NA,0.661875,0.490625,0.556,NA,0.5115,0,0.564625,NA,NA,0.713625,0.658625,NA,0.191,0.44375,NA,0.77375,NA,0.708625,0.766375,NA,NA,NA,0.7205,0.739875,0.808625,0.5905,0.638,NA,0.65925,0.639875,NA,0.682125,0.544625,NA,NA,0.75025,0.7455,0.529375,0.689875,NA,0.594375,0.68825,0.774,0.684,0.6185,NA,NA,NA,0.473125,0.70925,NA,0.53475,0.8005,0.59725,NA,NA,NA,NA,0.583,NA,NA,0.561,0.6705,0.402125,0.498,0.716,0.598125,NA,NA,0.6045,NA,0.563,NA,NA,NA,NA,NA,NA,0.6505,NA,NA,0.749125,0.746875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734625
"G_9",NA,NA,0.56625,0.43125,0.49225,NA,0.47025,0.435375,0,NA,NA,0.634375,0.563125,NA,0.1925,0.392625,NA,0.6965,NA,0.619125,0.702125,NA,NA,NA,0.618,0.66075,0.74725,0.49125,0.537875,NA,0.604875,0.545625,NA,0.625375,0.495375,NA,NA,0.68125,0.683625,0.47925,0.603375,NA,0.511,0.58825,0.70375,0.577375,0.520375,NA,NA,NA,0.418,0.62875,NA,0.483,0.7385,0.52025,NA,NA,NA,NA,0.50425,NA,NA,0.475375,0.61025,0.3755,0.430625,0.60875,0.513625,NA,NA,0.549625,NA,0.496875,NA,NA,NA,NA,NA,NA,0.593625,NA,NA,0.678125,0.676875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64525
"G_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
