"ID","prob"
"G_20",0.97775
"G_32",0.9645
"G_53",0.922125
"G_50",0.897375
"G_38",0.890375
"G_44",0.88325
"G_93",0.878875
"G_46",0.75875
"G_43",0.755625
"G_34",0.74125
"G_13",0.703875
"G_45",0.692125
"G_28",0.630625
"G_25",0.59325
"G_40",0.563125
"G_3",0.534625
"G_42",0.53025
"G_33",0.523875
"G_36",0.505125
"G_31",0.486625
"G_21",0.455625
"G_47",0.338375
"G_73",0.330375
"G_60",0.317625
"G_41",0.305125
"G_92",0.29975
"G_77",0.277
"G_14",0.271625
"G_11",0.218375
"G_89",0.200875
"G_9",0.18525
"G_49",0.171
"G_26",0.162625
"G_63",0.151
"G_94",0.14425
"G_29",0.1355
"G_39",0.135
"G_16",0.125625
"G_27",0.10275
"G_1",0.08725
"G_68",0.085625
"G_8",0.082625
"G_52",0.07525
"G_30",0.07325
"G_4",0.06975
"G_80",0.0665
"G_58",0.066
"G_51",0.061125
"G_54",0.059125
"G_64",0.058875
"G_91",0.058875
"G_74",0.0575
"G_2",0.045625
"G_17",0.041
"G_70",0.0285
"G_35",0.02725
"G_76",0.02075
"G_85",0.015875
"G_61",0.015125
"G_81",0.014625
"G_10",0.014
"G_82",0.012875
"G_72",0.012375
"G_90",0.011
"G_84",0.009
"G_88",0.008375
"G_6",0.00775
"G_48",0.0075
"G_65",0.0075
"G_18",0.005
"G_67",0.005
"G_24",0.004375
"G_56",0.003875
"G_98",0.002875
"G_79",0.002375
"G_78",0.00225
"G_75",0.0015
"G_22",0.001375
"G_96",0.00125
"G_66",0.001125
"G_97",0.001125
"G_57",0.001
"G_71",0.001
"G_5",0.000875
"G_86",0.00075
"G_12",5e-04
"G_19",5e-04
"G_95",5e-04
"G_87",0.000375
"G_23",0.000125
"G_62",0.000125
"G_83",0.000125
"G_7",0
"G_15",0
"G_37",0
"G_59",0
"G_69",0
