"ID","prob"
"G_61",0.51725
"G_88",0.516
"G_74",0.514125
"G_93",0.511875
"G_83",0.51025
"G_97",0.510125
"G_77",0.507125
"G_78",0.506375
"G_36",0.5055
"G_84",0.505375
"G_92",0.504125
"G_90",0.501125
"G_87",0.49675
"G_50",0.4955
"G_60",0.495375
"G_91",0.495
"G_89",0.49225
"G_76",0.303875
"G_86",0.30225
"G_94",0.300625
"G_53",0.299125
"G_82",0.29625
"G_96",0.29475
"G_95",0.293375
"G_80",0.291875
"G_1",0.29175
"G_81",0.29
"G_58",0.289875
"G_85",0.28925
"G_79",0.286
"G_33",0.278375
"G_14",0.247
"G_72",0.245
"G_48",0.2435
"G_64",0.242125
"G_49",0.241375
"G_63",0.237375
"G_30",0.229
"G_35",0.202875
"G_39",0.20025
"G_17",0.199625
"G_38",0.198
"G_21",0.19775
"G_19",0.197125
"G_34",0.197
"G_10",0.194875
"G_71",0.1935
"G_59",0.192875
"G_37",0.190875
"G_2",0.190125
"G_6",0.18475
"G_42",0.184125
"G_67",0.166
"G_66",0.14525
"G_20",0.142625
"G_40",0.14175
"G_73",0.1335
"G_9",0.130875
"G_23",0.122125
"G_24",0.11825
"G_22",0.1175
"G_54",0.1065
"G_26",0.101
"G_31",0.09875
"G_45",0.089875
"G_51",0.083125
"G_4",0.07625
"G_16",0.0665
"G_12",0.06525
"G_56",0.064875
"G_27",0.062625
"G_7",0.059
"G_44",0.055125
"G_18",0.054625
"G_43",0.0475
"G_57",0.046875
"G_65",0.04675
"G_75",0.04525
"G_13",0.0445
"G_15",0.04375
"G_5",0.0435
"G_52",0.04225
"G_3",0.041125
"G_32",0.03875
"G_70",0.033375
"G_46",0.031625
"G_62",0.029375
"G_41",0.027
"G_8",0.0255
"G_68",0.022875
"G_98",0.021625
"G_28",0.016625
"G_69",0.01525
"G_29",0.012625
"G_25",0.011875
"G_47",0.01
"G_11",0
