"ID","prob"
"G_27",0.694375
"G_56",0.683875
"G_21",0.63425
"G_45",0.63375
"G_18",0.621125
"G_39",0.609375
"G_85",0.607125
"G_86",0.601875
"G_38",0.6015
"G_26",0.58775
"G_98",0.532875
"G_12",0.5255
"G_34",0.516625
"G_52",0.5085
"G_31",0.50425
"G_66",0.50025
"G_20",0.493625
"G_82",0.492375
"G_25",0.459375
"G_41",0.446
"G_69",0.44525
"G_73",0.4325
"G_44",0.409625
"G_46",0.40675
"G_35",0.37625
"G_54",0.369625
"G_3",0.365875
"G_13",0.363
"G_40",0.357125
"G_57",0.34925
"G_5",0.3295
"G_32",0.32625
"G_9",0.32525
"G_43",0.322375
"G_75",0.304875
"G_7",0.303125
"G_70",0.294
"G_62",0.277375
"G_29",0.2765
"G_67",0.26225
"G_47",0.250625
"G_4",0.249125
"G_65",0.2385
"G_51",0.228
"G_28",0.220125
"G_16",0.179875
"G_8",0.175
"G_68",0.173375
"G_15",0.13425
"G_1",0
"G_2",0
"G_6",0
"G_10",0
"G_11",0
"G_14",0
"G_17",0
"G_19",0
"G_22",0
"G_23",0
"G_24",0
"G_30",0
"G_33",0
"G_36",0
"G_37",0
"G_42",0
"G_48",0
"G_49",0
"G_50",0
"G_53",0
"G_58",0
"G_59",0
"G_60",0
"G_61",0
"G_63",0
"G_64",0
"G_71",0
"G_72",0
"G_74",0
"G_76",0
"G_77",0
"G_78",0
"G_79",0
"G_80",0
"G_81",0
"G_83",0
"G_84",0
"G_87",0
"G_88",0
"G_89",0
"G_90",0
"G_91",0
"G_92",0
"G_93",0
"G_94",0
"G_95",0
"G_96",0
"G_97",0
