KEY1;PAT_Seq_ID;Country;CROP_SEASON;SEASON_NO;OLD_PAT_ID;TRIAL_NAME;TRIAL_TYPE;TRIAL_INSTANCE;NOTES_4_EXCLUDE;Trial_Operator;Org_Partner;Org_Partner_Type;Org_Partner_Country;Org_Partner_Status;LOCATION_NAME;MACRO_REGION;LOCATION_ID;SITE_NAME;Org_Abbrev_3_letters;REP_NO;BLOCK_NO;PLOT_NO;ENTRY_NO;Crop_Variety;Commercial1_Commercial2;Control;PAT_GID;PL_EMERG_COUNT;PL_EMERG_PCT;FLW_DATE;FLW_DAYS;FLW_CL;Leaf_shape_R1;PUB_CL;MAT_DATE;MAT_DAYS;PL_Lodging;Podding_MAT;Pod_Shattering;R8_PL_Height;NET_PLOT_AREA;NET_PLOT_YLD;WGT_100_SEEDS;MOIST_PCT;GRAIN_YLD_13PCT;AGRONOMICS;R6_BB_Sev;R6_BP_Sev;R6_BS_Sev;R6_BTS_Sev;R6_CLB_Sev;R6_DM_Sev;R6_MLS_Sev;R6_FELS_Sev;R6_RLB_Sev;R6_RUST_Sev;R6_RUST_RRT;R6_Others_Sev;PROTEIN;OIL;Hilum;PLANT_DATE;HARV_DATE;SITE_LAT;SITE_LONG;SITE_ALT;IRRIGATION;TRIAL_STATUS;Org_Source;Org_Source_Type;Org_Source_Country;Org_Acronym
S18_2_ZW_SCL5Banket_SCL22S1079/6/71;262655568;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;1;1;22;S1079/6/7;;No;67;0;0;;0;;;;;0;1;0;0;105;0;2280;23;11;4680,55;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,04;20,36;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL5TGx 1987-62F1;-514062916;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;1;2;5;TGx 1987-62F;;No;21;0;0;;0;;;;;0;5;0;0;95;0;1080;14;10;2236,97;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,67;19,15;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Nigeria;IITA (Nigeria)
S18_2_ZW_SCL5Banket_SCL4TGx 1991-22F1;1031587204;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;1;3;4;TGx 1991-22F;;No;75;0;0;;0;;;;;0;5;0;0;90;0;900;13;10;1866,21;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,52;19,14;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL6Lukanga1;-1951415935;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;1;4;6;Lukanga;;No;57;0;0;;0;;;;;0;1;0;0;100;0;1820;17;11;3723,68;YES;0;0;0;0;0;0;0;0;0;0;0;0;37,76;20,96;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;ZamSeed;Private;Zambia;ZamSeed (Zambia)
S18_2_ZW_SCL5Banket_SCL25S1146/5/251;1935866057;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;1;5;25;S1146/5/25;;No;123;0;0;;0;;;;;0;1;0;0;90;0;1550;21;11;3185,52;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,73;20,39;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
S18_2_ZW_SCL5Banket_SCL18TGx 2014-16FM1;-420201936;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;2;6;18;TGx 2014-16FM;;No;131;0;0;;0;;;;;0;5;0;0;100;0;1400;18;11;2851,49;YES;0;0;0;0;0;0;0;0;0;0;0;0;42,49;20,46;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL8Panorama 29 I1;-567653353;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;2;7;8;Panorama 29 I;;No;119;0;0;;0;;;;;0;2;0;0;173;0;889;13;8;1878,14;YES;0;0;0;0;0;0;0;0;0;0;0;0;41,87;19,84;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;Semillas Panorama SAS;Private;Colombia;S. Panorama (Colombia)
S18_2_ZW_SCL5Banket_SCL20TGx 2014-5GM1;1623297840;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;2;8;20;TGx 2014-5GM;;No;85;0;0;;0;;;;;0;1;0;0;85;0;1310;21;11;2671,2;YES;0;0;0;0;0;0;0;0;0;0;0;0;44,6;18,6;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;International Institute of Tropical Agriculture (IITA);Public;Zambia;IITA (Zambia)
S18_2_ZW_SCL5Banket_SCL21MRI DINA1;193939227;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;2;9;21;MRI DINA;;No;11;0;0;;0;;;;;0;4;0;0;115;0;655;12;9;1374,75;YES;0;0;0;0;0;0;0;0;0;0;0;0;43,21;18,95;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;MRI/Syngenta (Synergy Agribusiness Zambia Limited);Private;Zambia;MRI/Syngenta_Synergy Ag. (Zambia)
S18_2_ZW_SCL5Banket_SCL12S1150/5/221;213986290;Zimbabwe;2018;2;PAT-048;S18_2_ZW_SCL5;On Station;;;Hapson Mushoriwa;Seed Co Limited - Zimbabwe;Private;Zimbabwe;Active;Banket_SCL;ME1;;;SCL;1;2;10;12;S1150/5/22;;No;92;0;0;;0;;;;;0;2;0;0;90;0;1620;18;11;3321,93;YES;0;0;0;0;0;0;0;0;0;0;0;0;40,47;21,05;;12/04/2018;4/26/2019;-176,425;30,399,997;1260;Rainfed;READY_FOR_ANALYSIS;SeedCo;Private;Zimbabwe;SeedCo (Zimbabwe)
